KELLY HS,1878,-9.49,16265970,-8.52
KELVYN PARK HS,429,-19.51,4405628,-15.27
KENNEDY HS,1640,-1.09,14040792,2.21
KENWOOD HS,1735,-2.75,12385874,0.19
KERSHAW,232,-2.93,2429863,10.23
KILMER,721,0.42,6433592,4.06
KING ES,196,-2.97,1888168,-4.13
KING HS,653,1.71,5851470,-1.36
KINZIE,625,-0.79,5627015,0.30
KIPLING,291,-6.13,2309279,-4.20
KIPP  ASCEND,910,3.06,7192536,8.96
KIPP CHICAGO  BLOOM,338,4.32,2595392,5.52
KIPP CHICAGO  CREATE,318,4.26,2457223,8.64
KIPP CHICAGO  ONE,365,97.30,2541326,84.64
KOZMINSKI,228,-9.88,1871510,2.66
LAKE VIEW HS,1350,4.01,11210242,7.10
LANE TECH HS,4339,3.43,28548872,4.60
LANGFORD,256,-8.57,2035504,-9.99
LARA,369,-11.93,3157226,0.08
LASALLE,561,-0.36,4305712,4.80
LASALLE II,521,0.00,4379203,-5.24
LAVIZZO,321,-3.89,2697696,2.77
LAWNDALE,205,-15.29,1813201,-4.79
LEARN  7,449,24.72,3147914,21.35
LEARN  BUTLER,563,-8.31,4329578,-0.87
LEARN  CAMPBELL,455,3.64,3543363,8.17
LEARN  EXCEL,469,3.99,3571694,7.08
LEARN  MIDDLE,278,-4.47,2226012,-1.62
LEARN  PERKINS,510,2.62,3678204,5.90
LEARN  SOUTH CHICAGO,513,4.06,3830414,6.52
LEE,820,1.11,6181434,0.51
LEGACY,467,-0.64,3600737,0.80
LEGAL PREP HS,286,-6.54,2642033,-9.18
LELAND,395,-9.40,3747295,-8.77
LENART,252,-0.40,1739568,0.47
LEWIS,416,-4.81,3071580,-3.27
LIBBY,314,-16.27,3098855,-9.31
LINCOLN,856,0.35,4798316,-0.26
LINCOLN PARK HS,2130,0.05,14999836,2.53
LINDBLOM HS,1328,2.63,10194349,6.32
LITTLE BLACK PEARL HS,127,-5.22,1155412,-9.60
LITTLE VILLAGE,745,-4.73,5558592,0.61
LLOYD,969,-3.10,7087341,2.02
LOCKE A,474,-1.86,3488070,4.47
LOCKE J,1219,0.00,9359500,-0.27
LOGANDALE,700,-1.41,5524104,3.50
LORCA,758,-3.44,5617162,2.08
LOVETT,328,-7.61,2413139,-9.75
LOWELL,396,-8.76,3853694,1.61
LOZANO,198,-6.60,2350020,0.93
LYON,1507,0.20,10592308,5.38
MADERO,324,-3.57,2737181,2.81
MADISON,209,-0.95,1812100,-7.53
MAGIC JOHNSON  BRAINERD HS,117,-1.68,990128,3.57
MAGIC JOHNSON  ENGLEWOOD HS,125,5.93,1069529,8.02
MAGIC JOHNSON  HUMBOLDT PK HS,183,-9.41,1517018,-0.93
MAGIC JOHNSON  N LAWNDALE HS,173,-2.81,1492726,0.02
MAGIC JOHNSON  ROSELAND HS,228,12.87,1804378,17.65
MANIERRE,269,-4.27,2475873,-5.97
MANLEY HS,123,-30.51,1556727,-31.66
MANN,346,-2.26,2720372,-9.09
MARINE LEADERSHIP AT AMES HS,885,5.23,7581631,2.96
MARQUETTE,1056,-1.77,7765842,1.19
MARSH,723,-3.60,5591148,-2.27
MARSHALL HS,329,-11.08,3318103,-7.90
